runid	docset	length_change
10	D0612	1
10	D0615	1
10	D0635	1
10	D0640	1
13	D0602	1
13	D0615	1
13	D0621	1
13	D0627	1
13	D0635	1
13	D0640	1
13	D0643	1
13	D0646	1
15	D0601	13
15	D0602	10
15	D0603	11
15	D0604	14
15	D0605	13
15	D0606	10
15	D0607	10
15	D0608	12
15	D0609	11
15	D0610	12
15	D0611	14
15	D0612	13
15	D0613	10
15	D0614	12
15	D0615	14
15	D0616	13
15	D0617	11
15	D0618	13
15	D0619	13
15	D0620	12
15	D0621	12
15	D0622	12
15	D0623	13
15	D0624	11
15	D0625	10
15	D0626	11
15	D0627	12
15	D0628	12
15	D0629	13
15	D0630	11
15	D0631	11
15	D0632	11
15	D0633	12
15	D0634	12
15	D0635	14
15	D0636	13
15	D0637	14
15	D0638	12
15	D0639	12
15	D0640	12
15	D0641	12
15	D0642	11
15	D0643	13
15	D0644	12
15	D0645	12
15	D0646	12
15	D0647	11
15	D0648	13
15	D0649	11
15	D0650	12
19	D0601	8
19	D0602	10
19	D0603	9
19	D0604	9
19	D0605	9
19	D0606	8
19	D0607	8
19	D0608	9
19	D0609	9
19	D0610	9
19	D0611	13
19	D0612	9
19	D0613	10
19	D0614	8
19	D0615	9
19	D0616	10
19	D0617	9
19	D0618	11
19	D0619	9
19	D0620	9
19	D0621	7
19	D0622	10
19	D0623	10
19	D0624	7
19	D0625	9
19	D0626	9
19	D0627	10
19	D0628	10
19	D0629	10
19	D0630	8
19	D0631	10
19	D0632	9
19	D0633	8
19	D0634	9
19	D0635	9
19	D0636	8
19	D0637	10
19	D0638	10
19	D0639	9
19	D0640	9
19	D0641	11
19	D0642	11
19	D0643	11
19	D0644	7
19	D0645	11
19	D0646	11
19	D0647	10
19	D0648	12
19	D0649	10
19	D0650	9
23	D0615	1
24	D0601	1
24	D0602	2
24	D0603	2
24	D0608	2
24	D0609	1
24	D0610	1
24	D0611	2
24	D0613	3
24	D0614	2
24	D0617	1
24	D0618	3
24	D0619	2
24	D0620	3
24	D0621	2
24	D0622	1
24	D0623	2
24	D0624	2
24	D0625	2
24	D0626	2
24	D0627	3
24	D0628	4
24	D0630	4
24	D0633	3
24	D0635	2
24	D0636	4
24	D0638	6
24	D0640	2
24	D0642	2
24	D0643	3
24	D0645	2
24	D0647	1
24	D0648	1
24	D0649	3
2	D0601	8
2	D0602	5
2	D0603	2
2	D0605	11
2	D0606	1
2	D0607	8
2	D0608	3
2	D0609	8
2	D0611	5
2	D0612	4
2	D0613	11
2	D0614	10
2	D0615	4
2	D0616	4
2	D0617	8
2	D0618	7
2	D0619	5
2	D0620	3
2	D0622	8
2	D0623	6
2	D0624	8
2	D0625	2
2	D0626	8
2	D0627	7
2	D0628	7
2	D0629	6
2	D0630	6
2	D0632	5
2	D0633	9
2	D0635	9
2	D0636	5
2	D0637	1
2	D0638	8
2	D0640	6
2	D0642	9
2	D0643	8
2	D0644	6
2	D0645	1
2	D0646	8
2	D0647	6
2	D0648	3
2	D0649	9
2	D0650	7
8	D0601	13
8	D0602	12
8	D0603	13
8	D0604	14
8	D0605	14
8	D0606	12
8	D0607	12
8	D0608	14
8	D0609	12
8	D0610	13
8	D0611	15
8	D0612	14
8	D0613	12
8	D0614	12
8	D0615	14
8	D0616	13
8	D0617	12
8	D0618	13
8	D0619	13
8	D0620	13
8	D0621	13
8	D0622	14
8	D0623	15
8	D0624	11
8	D0625	12
8	D0626	12
8	D0627	13
8	D0628	12
8	D0629	14
8	D0630	13
8	D0631	12
8	D0632	13
8	D0633	14
8	D0634	12
8	D0635	15
8	D0636	13
8	D0637	15
8	D0638	12
8	D0639	14
8	D0640	14
8	D0641	15
8	D0642	14
8	D0643	14
8	D0644	13
8	D0645	13
8	D0646	13
8	D0647	13
8	D0648	14
8	D0649	14
8	D0650	12
9	D0606	2
9	D0609	4
9	D0611	8
9	D0618	4
9	D0622	7
9	D0623	3
9	D0624	4
9	D0629	7
9	D0635	1
9	D0636	5
9	D0637	3
9	D0639	4
9	D0640	5
9	D0641	4
9	D0649	6
